SKU,Status,Current Name,Shape,Classes,Containers,Description
A4CL-6T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 1.417"" x 0.551"" #A4CL-6",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-8T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 1.77"" x 0.787"" #A4CL-8",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-9T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 1.22"" x 0.866"" #A4CL-9",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&#x2122; - Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Withstand extreme cryogenic temperatures (-196°C in liquid phase and vapor phase Liquid Nitrogen)</li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-11T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 2.52"" x 0.275"" #A4CL-11",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-12T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 0.945"" x 0.512"" #A4CL-12",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-23T1,Published,"Permanent Cryo Laser Labels (A4 Size) - 1.24"" x 0.512"" #A4CL-23",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&#x2122; - Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Withstand extreme cryogenic temperatures (-196°C in liquid phase and vapor phase Liquid Nitrogen)</li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-23T1-A2,Published,"Permanent Cryo Laser Labels (A4 Size) - 1.24"" x 0.512"" #A4CL-23 Assorted",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&#x2122; - Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Withstand extreme cryogenic temperatures (-196°C in liquid phase and vapor phase Liquid Nitrogen)</li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-28T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 8.27"" x 11.7"" #A4CL-28",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG™ - Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Withstand extreme cryogenic temperatures (-196°C in liquid phase and vapor phase Liquid Nitrogen)</li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-32T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 0.95"" x 0.75"" #A4CL-32",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG™ - Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Withstand extreme cryogenic temperatures (-196°C in liquid phase and vapor phase Liquid Nitrogen)</li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-36T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 1.5"" x 1"" #A4CL-36",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-48,Published,"Permanent Cryo Laser Labels (A4 Size) -  0.433"" Circle #A4CL-48",Circle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3 data-pm-slice=""1 1 []"">A4 Size Permanent Cryo-LazrTAG™ – Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Resist ultra-low temperatures (-80° laboratory freezers and dry ice transportation)<strong>*</strong></li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation.\n\n<strong>*</strong>Given the small diameter of these dot labels, they are not recommended for liquid nitrogen storage. For labels of the same size and suitable for storage in vapour phase and liquid phase liquid nitrogen, we recommend: NitroTAG®, and writable LAB-TAG™."
A4CL-48T1-A2,Published,"Permanent Cryo Laser Labels (A4 Size) - 0.433"" Circle #A4CL-48T1-A2 Assorted",Circle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3 data-pm-slice=""1 1 []"">A4 Size Permanent Cryo-LazrTAG™ – Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Resist ultra-low temperatures (-80° laboratory freezers and dry ice transportation)<strong>*</strong></li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation.\n\n<strong>*</strong>Given the small diameter of these dot labels, they are not recommended for liquid nitrogen storage. For labels of the same size and suitable for storage in vapour phase and liquid phase liquid nitrogen, we recommend: NitroTAG®, and writable LAB-TAG™."
A4CL-72T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 0.906"" x 0.512"" #A4CL-72",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&#x2122; - Cryogenic Labels for Laser Printers </h3>\n&nbsp;\n<ul>\n 	<li>Provided in European A4 sheet format</li>\n 	<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n 	<li>Withstand extreme cryogenic temperatures (-196°C in liquid phase and vapor phase Liquid Nitrogen)</li>\n 	<li>Printable by all major desktop laser printers</li>\n</ul>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-74T1,Published,"Permanent Cryo Laser Labels (A4 Size) - 0.98"" x 0.86"" #A4CL-74",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
A4CL-74T1-A2,Published,"Permanent Cryo Laser Labels (A4 Size) - 0.98"" x 0.86"" #A4CL-74 Assorted",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
